Starting new run
 [x] provider_two Sent 36
 [x] provider_three Sent 17
 [x] provider_four Sent 77
 [x] provider_one Sent 12
 [x] provider_two Sent 10
 [x] provider_three Sent 70
 [x] provider_one Sent 26
 [x] provider_four Sent 53
 [x] provider_two Sent 63
 [x] provider_one Sent 72
 [x] provider_four Sent 85
 [x] provider_three Sent 25
 [x] provider_two Sent 68
 [x] provider_four Sent 34
 [x] provider_one Sent 59
 [x] provider_three Sent 23
 [x] provider_two Sent 48
 [x] provider_one Sent 54
 [x] provider_four Sent 17
 [x] provider_three Sent 77
 [x] provider_two Sent 64
 [x] provider_one Sent 47
 [x] provider_three Sent 23
 [x] provider_four Sent 77
 [x] provider_two Sent 39
 [x] provider_four Sent 33
 [x] provider_three Sent 57
 [x] provider_one Sent 20
 [x] provider_two Sent 98
 [x] provider_one Sent 10
 [x] provider_four Sent 49
 [x] provider_three Sent 58
 [x] provider_two Sent 30
 [x] provider_one Sent 85
 [x] provider_three Sent 39
 [x] provider_four Sent 100
 [x] provider_two Sent 84
 [x] provider_one Sent 42
 [x] provider_four Sent 14
 [x] provider_three Sent 65
 [x] provider_two Sent 47
 [x] provider_three Sent 93
 [x] provider_one Sent 70
 [x] provider_four Sent 65
 [x] provider_two Sent 12
 [x] provider_three Sent 31
 [x] provider_one Sent 86
 [x] provider_four Sent 59
 [x] provider_two Sent 98
 [x] provider_one Sent 83
 [x] provider_three Sent 12
 [x] provider_four Sent 60
 [x] provider_two Sent 83
 [x] provider_four Sent 14
 [x] provider_three Sent 30
 [x] provider_one Sent 88
 [x] provider_two Sent 89
 [x] provider_four Sent 25
 [x] provider_one Sent 44
 [x] provider_three Sent 97
 [x] provider_two Sent 19
 [x] provider_four Sent 56
 [x] provider_three Sent 85
 [x] provider_one Sent 67
 [x] provider_two Sent 11
 [x] provider_four Sent 12
 [x] provider_one Sent 21
 [x] provider_three Sent 82
 [x] provider_two Sent 27
 [x] provider_four Sent 56
 [x] provider_one Sent 55
 [x] provider_three Sent 14
 [x] provider_two Sent 21
 [x] provider_four Sent 48
 [x] provider_one Sent 52
 [x] provider_three Sent 16
 [x] provider_two Sent 93
 [x] provider_three Sent 34
 [x] provider_one Sent 77
 [x] provider_four Sent 97
 [x] provider_two Sent 31
 [x] provider_four Sent 90
 [x] provider_one Sent 95
 [x] provider_three Sent 35
 [x] provider_two Sent 79
 [x] provider_four Sent 96
 [x] provider_one Sent 42
 [x] provider_three Sent 13
 [x] provider_two Sent 97
 [x] provider_three Sent 80
 [x] provider_one Sent 45
 [x] provider_four Sent 57
 [x] provider_two Sent 80
 [x] provider_four Sent 32
 [x] provider_one Sent 75
 [x] provider_three Sent 16
 [x] provider_two Sent 20
 [x] provider_one Sent 82
 [x] provider_four Sent 65
 [x] provider_three Sent 33
 [x] provider_two Sent 70
 [x] provider_one Sent 43
 [x] provider_four Sent 97
 [x] provider_three Sent 22
 [x] provider_two Sent 89
 [x] provider_one Sent 67
 [x] provider_four Sent 80
 [x] provider_three Sent 30
 [x] provider_two Sent 80
 [x] provider_one Sent 86
 [x] provider_four Sent 12
 [x] provider_three Sent 50
 [x] provider_two Sent 35
 [x] provider_four Sent 33
 [x] provider_one Sent 47
 [x] provider_three Sent 93
 [x] provider_two Sent 81
 [x] provider_one Sent 21
 [x] provider_four Sent 68
 [x] provider_three Sent 50
 [x] provider_two Sent 73
 [x] provider_one Sent 20
 [x] provider_three Sent 57
 [x] provider_four Sent 23
 [x] provider_two Sent 64
 [x] provider_one Sent 57
 [x] provider_three Sent 48
 [x] provider_four Sent 28
 [x] provider_two Sent 51
 [x] provider_three Sent 32
 [x] provider_one Sent 34
 [x] provider_four Sent 70
 [x] provider_two Sent 65
 [x] provider_three Sent 88
 [x] provider_one Sent 96
 [x] provider_four Sent 35
 [x] provider_two Sent 42
 [x] provider_one Sent 96
 [x] provider_three Sent 89
 [x] provider_four Sent 18
 [x] provider_two Sent 38
 [x] provider_one Sent 75
 [x] provider_four Sent 29
 [x] provider_three Sent 83
 [x] provider_two Sent 74
 [x] provider_one Sent 78
 [x] provider_four Sent 29
 [x] provider_three Sent 97
 [x] provider_two Sent 50
 [x] provider_three Sent 25
 [x] provider_four Sent 55
 [x] provider_one Sent 10
 [x] provider_two Sent 65
